iter	Passed	Remaining
0	143	143095
1	163	81524
2	174	58075
3	191	47610
4	202	40298
5	222	36937
6	243	34490
7	259	32131
8	269	29672
9	285	28276
10	297	26716
11	310	25542
12	322	24518
13	339	23884
14	351	23053
15	367	22606
16	380	22003
17	390	21325
18	402	20762
19	411	20169
20	430	20076
21	444	19774
22	460	19559
23	476	19377
24	489	19093
25	506	18978
26	521	18795
27	541	18813
28	544	18241
29	560	18126
30	579	18117
31	591	17889
32	611	17925
33	634	18034
34	644	17771
35	651	17440
36	663	17260
37	677	17145
38	690	17015
39	694	16678
40	709	16607
41	728	16627
42	735	16371
43	746	16225
44	752	15976
45	760	15768
46	770	15629
47	777	15410
48	790	15342
49	806	15328
50	819	15257
51	828	15110
52	835	14930
53	843	14779
54	853	14673
55	868	14647
56	876	14501
57	886	14403
58	905	14447
59	918	14392
60	924	14226
61	931	14098
62	942	14019
63	954	13964
64	968	13933
65	978	13846
66	990	13789
67	1003	13760
68	1020	13764
69	1032	13717
70	1039	13600
71	1049	13520
72	1066	13545
73	1075	13456
74	1088	13426
75	1101	13390
76	1114	13359
77	1122	13265
78	1134	13230
79	1150	13227
80	1163	13205
81	1181	13231
82	1198	13238
83	1218	13284
84	1228	13219
85	1237	13149
86	1250	13121
87	1259	13049
88	1269	12995
89	1279	12938
90	1297	12963
91	1310	12932
92	1318	12855
93	1335	12870
94	1348	12843
95	1366	12867
96	1381	12861
97	1397	12862
98	1414	12869
99	1428	12855
100	1436	12785
101	1450	12773
102	1457	12696
103	1470	12667
104	1484	12654
105	1495	12612
106	1505	12562
107	1521	12563
108	1528	12497
109	1535	12422
110	1556	12467
111	1567	12429
112	1580	12406
113	1592	12376
114	1604	12343
115	1613	12297
116	1626	12278
117	1641	12270
118	1653	12241
119	1662	12188
120	1668	12120
121	1679	12084
122	1686	12026
123	1694	11973
124	1706	11947
125	1714	11895
126	1726	11865
127	1740	11857
128	1752	11832
129	1763	11802
130	1767	11725
131	1780	11709
132	1792	11687
133	1803	11654
134	1816	11639
135	136	1857	11136	137	1871	11137	138	1892	11138	139	1901	11139	140	1911	11140	141	1923	11141	1908	11530
142	1920	11510
143	1930	11472
144	1943	11461
145	146	1986	11146	147	2000	11147	148	2018	11148	2009	11476
149	2032	11514
150	2044	11495
151	2064	11519
152	153	2104	11153	2092	11495
154	155	2135	11155	2126	11503
156	2141	11496
157	2149	11454
158	159	2188	11159	160	2196	11160	161	2217	11161	162	2230	11162	163	2242	11163	164	2265	11164	165	2277	11165	166	2288	11166	167	2301	11167	168	2316	11168	169	2331	11169	170	2344	11170	2322	11259
171	2344	11284
172	2357	11269
173	2369	11250
174	2381	11229
175	176	2423	11176	177	2433	11177	178	2456	11178	179	2471	11179	180	2485	11244
181	2495	11215
182	2509	11201
183	2519	11171
184	2538	11181
185	2552	11169
186	2567	11160
187	2581	11148
188	2588	11108
189	2601	11092
190	2616	11082
191	2626	11053
192	2640	11039
193	2659	11047
194	2675	11044
195	2688	11028
196	2699	11004
197	2711	10984
198	2729	10987
199	2741	10965
200	2757	10959
201	2769	10940
202	2783	10927
203	2795	10906
204	2807	10888
205	2825	10888
206	2837	10869
207	2847	10843
208	2867	10852
209	2872	10807
210	2885	10789
211	2898	10773
212	2912	10761
213	2927	10751
214	2941	10741
215	2951	10712
216	2964	10696
217	2978	10684
218	2991	10669
219	2998	10629
220	3009	10607
221	3034	10634
222	3049	10625
223	3056	10589
224	3069	10571
225	3076	10537
226	3092	10530
227	3103	10509
228	3113	10481
229	3130	10481
230	3145	10470
231	3155	10444
232	3165	10421
233	3175	10394
234	3188	10379
235	3203	10372
236	3214	10349
237	3228	10335
238	3244	10331
239	3257	10316
240	3263	10276
241	3278	10268
242	3288	10245
243	3309	10253
244	3324	10243
245	3334	10219
246	3346	10202
247	3357	10179
248	3369	10163
249	3379	10138
250	3392	10122
251	3400	10092
252	3411	10072
253	3422	10051
254	3434	10035
255	3451	10030
256	3462	10011
257	3469	9978
258	3482	9964
259	3492	9940
260	3499	9909
261	3518	9910
262	3537	9913
263	3544	9881
264	3555	9860
265	3560	9825
266	3568	9796
267	3576	9769
268	3586	9747
269	3597	9726
270	3614	9721
271	3627	9709
272	3639	9692
273	3647	9665
274	3662	9656
275	3671	9630
276	3683	9613
277	3691	9586
278	3703	9571
279	3715	9553
280	3729	9543
281	3741	9525
282	3753	9509
283	3773	9514
284	3785	9497
285	3793	9471
286	3804	9450
287	3813	9427
288	3829	9420
289	3837	9395
290	3848	9375
291	3855	9348
292	3861	9318
293	3871	9296
294	3880	9272
295	3892	9256
296	3902	9236
297	3910	9212
298	3922	9196
299	3929	9169
300	3940	9151
301	3946	9120
302	3951	9090
303	3958	9062
304	3963	9031
305	3967	8998
306	3972	8968
307	3977309	39308	3982310	39309	3988311	4003	8827
312	4014	8811
313	4023	8790
314	4032	8768
315	4041	8747
316	4049	8725
317	4057	8702
318	4070	8689
319	4078	8667
320	4088	8647
321	4095	8623
322	4111	8618
323	4123	8602
324	4133	8584
325	4142	8564
326	4148	8539
327	4160	8524
328	4170	8506
329	4178	8483
330	4188	8465
331	4202	8456
332	4212	8438
333	4218	8412
334	4224	8385
335	4229	8358
336	4235	8332
337	4241	8308
338	4247	8282
339	4257	8263
340	4263	8238
341	4268	8213
342	4275	8188
343	4279	8161
344	4287	8139
345	4292	8113
346	4298	8088
347	4306	8067
348	4315	8049
349	4322	8027
350	4329	8006
351	4338	7986
352	4351	7976
353	4362	7961
354	4367	7935
355	4378	7920
356	4386	7899
357	4392	7877
358	4399	7855
359	4405	7831
360	4412	7811
361	4421	7792
362	4431	7776
363	4443	7763
364	4451	7744
365	4460	7726
366	4468	7707
367	4475	7686
368	4485	7670
369	4492	7649
370	4503	7634
371	4517	7625
372	4524	7604
373	4533	7588
374	4544	7573
375	4553	7557
376	4560	7536
377	4566	7514
378	4570	7489
379	4575	7466
380	4581	7443
381	4585	7418
382	4590	7395
383	4596	7373
