iter	Passed	Remaining
0	145	144893
1	145	72579
2	146	48810
3	148	37016
4	150	29875
5	150	24938
6	151	21542
7	153	19005
8	154	16992
9	155	15345
10	156	14103
11	158	13027
12	159	12112
13	163	11494
14	164	10803
15	166	10226
16	167	9692
17	171	9351
18	173	8949
19	174	8562
20	175	8171
21	176	7858
22	177	7550
23	179	7283
24	180	7036
25	182	6834
26	183	6624
27	185	6446
28	187	6264
29	188	6080
30	189	5919
31	189	5745
32	190	5581
33	191	5453
34	193	5329
35	194	5212
36	195	5077
37	196	4963
38	196	4844
39	198	4775
40	200	4685
41	203	4635
42	203	4539
43	206	4489
44	208	4415
45	208	4329
46	210	4261
47	211	4187
48	212	4123
49	213	4054
50	215	4001
51	216	3945
52	217	3889
53	219	3841
54	222	3816
55	223	3771
56	226	3745
57	228	3711
58	230	3681
59	232	3640
60	233	3597
61	235	3564
62	237	3525
63	238	3492
64	241	3470
65	242	3433
66	244	3410
67	246	3375
68	246	3327
69	248	3294
70	249	3265
71	250	3233
72	252	3204
73	253	3175
74	254	3136
75	256	3114
76	256	3078777	259	306678	281	3280
79	296	3408
80	297	3375
81	299	3348
82	301	3325
83	302	3298
84	303	3272
85	306	3257
86	307	3231
87	309	3205
88	312	3197
89	316	3202
90	318	3181
91	320	3158
92	323	3153
93	324	3129
94	326	3106
95	327	3083
96	328	3061
97	330	3043
98	332	3024
99	333	3003
100	336	2994
101	338	2979
102	339	2955
103	340	2936
104	342	2918
105	343	2895
106	344	2876
107	346	2860
108	347	2843
109	350	2834
110	351	2817
111	353	2799
112	355	2788
113	356	2772
114	358	2756
115	359	2742
116	361	2728
117	364	2721
118	366	2710
119	367	2696
120	369	2684
121	371	2672
122	373	2661
123	375	2650
124	376	2637
125	378	2628
126	380	2614
127	381	2601
128	382	2585
129	384	2572
130	386	2564
131	387	2551
132	390	2545
133	391	2532
134	392	2515
135	395	2510
136	396	2498
137	398	2490
138	400	2478
139	401	2466
140	403	2455
141	404	2443
142	405	2431
143	407	2420
144	410	2417
145	411	2409
146	413	2399
147	415	2393
148	417	2386
149	419	2378
150	421	2367
151	422	2357
152	424	2351
153	429	2359
154	431	2352
155	432	2342
156	434	2332
157	435	2322
158	437	2312
159	442	2320
160	443	2312
161	445	2302
162	447	2299
163	450	2295
164	453	2294
165	454	2281
166	456	2279
167	458	2270
168	460	2265
169	462	2256
170	464	2252
171	467	2249
172	468	2238
173	470	2231
174	471	2223
175	473	2214
176	474	2205
177	476	2198
178	479	2201
179	482	2199
180	485	2197
181	487	2189
182	488	2181
183	489	2172
184	491	2164
185	493	2160
186	495	2152
187	496	2145
188	498	2137
189	499	2129
190	500	2121
191	502	2116
192	504	2108
193	507	2108
194	509	2105
195	512	2104
196	515	2099
197	516	2092
198	518	2085
199	520	2080
200	522	2076
201	524	2073
202	529	2079
203	531	2072
204	534	2071
205	536	2066
206	538	2061
207	540	2057
208	541	2051
209	543	2044
210	546	2041
211	547	2034
212	549	2028
213	551	2025
214	555	2027
215	557	2024
216	559	2018
217	561	2013
218	564	2013
219	566	2007
220	568	2003
221	570	2000
222	573	1998
223	576	1997
224	578	1991
225	579	1984
226	581	1978
227	582	1972
228	585	1970
229	586	1964
230	588	1958
231	589	1951
232	592	1949
233	593	1943
234	595	1937
235	598	1937
236	602	1938
237	603	1933
238	606	1932
239	613	1941
240	616	1942
241	621	1945
242	625	1947
243	628	1948
244	630	1942
245	637	1953
246	640	1952
247	641	1945
248	643	1939
249	645	1937
250	647	1931
251	648	1925
252	654	1931
253	658	1934
254	660	1929
255	662	1924
256	665	1923
257	666	1917
258	668	1911
259	669	1906
260	671	1900
261	672	1894
262	673	1888
263	675	1882
264	677	1878
265	678	1872
266	683	1875
267	684	1869
268	685	1863
269	687	1860
270	690	1857
271	691	1851
272	693	1847
273	697	1849
274	699	1843
275	701	1839
276	702	1834
277	705	1831
278	706	1825
279	708	1821
280	710	1818
281	711	1812
282	716	1815
283	717	1809
284	719	1804
285	720	1799
286	722	1795
287	724	1790
288	725	1785
289	727	1781
